zip_code,member_count,high_freq_ratio,premium_ratio,demand_intensity
10001,4,0.75,0.75,46.6
10002,5,0.2,0.2,14.0
10003,5,0.6,0.6,38.0
10004,4,0.25,0.25,16.6
10005,4,0.25,0.25,16.6
10006,5,0.4,0.4,26.0
10007,4,0.5,0.5,31.6
10008,4,0.25,0.25,16.6
10009,4,0.25,0.25,16.6
10010,4,0.25,0.25,16.6
10011,4,0.5,0.5,31.6
10012,4,0.25,0.25,16.6
10013,4,0.5,0.5,31.6
10014,4,0.25,0.25,16.6
10015,4,0.25,0.25,16.6
10016,4,0.5,0.5,31.6
10017,3,0.0,0.0,1.2000000000000002
10018,3,0.3333333333333333,0.3333333333333333,21.2
10019,3,0.6666666666666666,0.6666666666666666,41.2
10020,3,0.0,0.0,1.2000000000000002
10021,3,0.3333333333333333,0.3333333333333333,21.2
10022,3,0.6666666666666666,0.6666666666666666,41.2
10023,3,0.0,0.0,1.2000000000000002
10024,3,0.3333333333333333,0.3333333333333333,21.2
10025,3,0.0,0.0,1.2000000000000002
10026,3,0.6666666666666666,0.6666666666666666,41.2
10027,3,0.3333333333333333,0.3333333333333333,21.2
